instance_path,instance_name,A,N,seed,algorithm,resultado,tiempo,memoria
data/instancias/inst_A50_N10_3_20251207185807.txt,inst_A50_N10_3_20251207185807,50,10,74,memo,7286,0.0065023000024666,34792
data/instancias/inst_A50_N10_3_20251207185807.txt,inst_A50_N10_3_20251207185807,50,10,74,dp,7286,0.0090110999990429,11776
data/instancias/inst_A50_N15_0_20251207185808.txt,inst_A50_N15_0_20251207185808,50,15,75,brute_force,9106,3.914192700001877,896
data/instancias/inst_A50_N15_0_20251207185808.txt,inst_A50_N15_0_20251207185808,50,15,75,recursive,9106,2.0987322999972093,736
data/instancias/inst_A50_N15_0_20251207185808.txt,inst_A50_N15_0_20251207185808,50,15,75,memo,9106,0.0125581000029342,61448
data/instancias/inst_A50_N15_0_20251207185808.txt,inst_A50_N15_0_20251207185808,50,15,75,dp,9106,0.0130414999985077,12448
data/instancias/inst_A50_N15_1_20251207185814.txt,inst_A50_N15_1_20251207185814,50,15,76,brute_force,9600,9.1329939999996,896
data/instancias/inst_A50_N15_1_20251207185814.txt,inst_A50_N15_1_20251207185814,50,15,76,recursive,9600,5.281258099999832,704
data/instancias/inst_A50_N15_1_20251207185814.txt,inst_A50_N15_1_20251207185814,50,15,76,memo,9600,0.015754799998831,97448
data/instancias/inst_A50_N15_1_20251207185814.txt,inst_A50_N15_1_20251207185814,50,15,76,dp,9600,0.0162407999996503,15296
data/instancias/inst_A50_N15_2_20251207185829.txt,inst_A50_N15_2_20251207185829,50,15,77,brute_force,7873,7.842814700001327,912
data/instancias/inst_A50_N15_2_20251207185829.txt,inst_A50_N15_2_20251207185829,50,15,77,recursive,7873,4.550573300002725,768
data/instancias/inst_A50_N15_2_20251207185829.txt,inst_A50_N15_2_20251207185829,50,15,77,memo,7873,0.0124645999967469,99064
data/instancias/inst_A50_N15_2_20251207185829.txt,inst_A50_N15_2_20251207185829,50,15,77,dp,7873,0.0143835999988368,12736
data/instancias/inst_A50_N15_3_20251207185841.txt,inst_A50_N15_3_20251207185841,50,15,78,brute_force,9615,28.32264589999977,960
data/instancias/inst_A50_N15_3_20251207185841.txt,inst_A50_N15_3_20251207185841,50,15,78,recursive,9615,14.30222169999979,864
data/instancias/inst_A50_N15_3_20251207185841.txt,inst_A50_N15_3_20251207185841,50,15,78,memo,9615,0.0123472000013862,91384
data/instancias/inst_A50_N15_3_20251207185841.txt,inst_A50_N15_3_20251207185841,50,15,78,dp,9615,0.0141168000009201,15392
